Ref,Val,Package,PosX,PosY,Rot,Side
"C23","100nF","C_0402_1005Metric",190.650000,-224.650000,180.000000,top
"C24","100nF","C_0402_1005Metric",192.430000,-221.150000,180.000000,top
"R35","100R","R_0603_1608Metric",92.875000,-236.875000,-90.000000,top
"R36","150R","R_0603_1608Metric",94.450000,-236.875000,-90.000000,top
"R37","100R","R_0603_1608Metric",96.025000,-236.900000,-90.000000,top
"R38","100R","R_0603_1608Metric",281.150000,-235.500000,-90.000000,top
"R39","150R","R_0603_1608Metric",282.700000,-235.500000,-90.000000,top
"R40","100R","R_0603_1608Metric",284.275000,-235.500000,-90.000000,top
"R41","4.7K","R_0603_1608Metric",280.250000,-245.150000,180.000000,top
"R42","4.7K","R_0603_1608Metric",280.350000,-242.700000,180.000000,top
"R43","75K","R_0603_1608Metric",192.900000,-227.800000,-90.000000,top
"R52","4.7K","R_0402_1005Metric",279.500000,-236.000000,-90.000000,top
"U13","EAST1616RGBA8","EAST1616RGBA8",93.735000,-241.455000,90.000000,top
"U14","EAST1616RGBA8","EAST1616RGBA8",281.975000,-240.875000,90.000000,top
"U15","MPR121QR2","UQFN-20_3x3mm_P0.4mm",193.750000,-223.850000,0.000000,top
